clip4_ChandramukhiPranasakhi_Prema_RameshArvind	698.jpg	Prema_100.jpg	173	65	36	48	Phool_Aur_Kantey	19-02-2013	Bhanu_Priya	MALE	ANGER	GLASSES	BAD	CHILD	FRONTAL	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	370.jpg	Prema_69.jpg	81	99	31	30	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	DOWN	PARTIAL
clip3_ChandramukhiPranasakhi_Prema_Shivaram	081.jpg	Prema_7.jpg	171	72	55	83	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	BAD	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	371.jpg	Prema_70.jpg	107	76	32	48	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	377.jpg	Prema_72.jpg	32	47	98	129	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	SURPRISE	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	385.jpg	Prema_73.jpg	81	46	127	140	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	DOWN	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	393.jpg	Prema_74.jpg	114	69	82	122	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	OTHERS	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	395.jpg	Prema_75.jpg	118	56	87	124	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	OTHERS	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	404.jpg	Prema_76.jpg	125	114	49	60	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	UP	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	405.jpg	Prema_77.jpg	110	119	49	62	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	UP	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	443.jpg	Prema_78.jpg	135	53	49	72	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	444.jpg	Prema_79.jpg	141	77	28	38	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	453.jpg	Prema_80.jpg	145	100	59	93	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	HAIR	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	455.jpg	Prema_81.jpg	189	68	81	97	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	HAIR	MEDIUM	YOUNG	UP	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	534.jpg	Prema_82.jpg	149	94	53	99	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	537.jpg	Prema_83.jpg	154	46	122	151	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	542.jpg	Prema_84.jpg	145	97	43	64	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	544.jpg	Prema_85.jpg	135	77	60	63	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	UP	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	562.jpg	Prema_86.jpg	107	75	21	26	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	569.jpg	Prema_87.jpg	108	81	22	29	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	603.jpg	Prema_88.jpg	84	80	19	25	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	609.jpg	Prema_89.jpg	128	92	34	61	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip3_ChandramukhiPranasakhi_Prema_Shivaram	083.jpg	Prema_9.jpg	170	74	63	81	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	BAD	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	614.jpg	Prema_90.jpg	70	92	21	21	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	628.jpg	Prema_91.jpg	123	95	53	72	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	631.jpg	Prema_92.jpg	34	86	56	86	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	636.jpg	Prema_93.jpg	34	75	61	85	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	639.jpg	Prema_94.jpg	8	90	49	80	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	640.jpg	Prema_95.jpg	18	46	131	149	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	642.jpg	Prema_96.jpg	78	57	66	141	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	HAIR	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	647.jpg	Prema_97.jpg	175	69	23	31	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	654.jpg	Prema_98.jpg	198	77	30	38	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	683.jpg	Prema_99.jpg	207	98	20	23	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip4_ChandramukhiPranasakhi_Prema_RameshArvind	698.jpg	Prema_100.jpg	173	65	36	48	Chandramukhi_Pranasakhi	1999	Prema	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
