
TWENTY_20-Malayalam_full_movie	09309.jpg	SureshGopi_150.jpg	181	84	156	255	Phool_Aur_Kantey	19-02-2013	Bhanu_Priya	MALE	ANGER	GLASSES	BAD	CHILD	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	09184.jpg	SureshGopi_145.jpg	198	47	140	256	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	09192.jpg	SureshGopi_147.jpg	231	106	132	255	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	09270.jpg	SureshGopi_148.jpg	295	45	164	303	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	09307.jpg	SureshGopi_149.jpg	294	72	140	256	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	04756.jpg	SureshGopi_15.jpg	286	113	148	212	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	04759.jpg	SureshGopi_16.jpg	288	111	148	222	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	HAND	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	04765.jpg	SureshGopi_19.jpg	309	77	140	247	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	04619.jpg	SureshGopi_2.jpg	307	83	129	198	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	04781.jpg	SureshGopi_20.jpg	305	38	106	178	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	04782.jpg	SureshGopi_21.jpg	271	36	102	175	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	04800.jpg	SureshGopi_22.jpg	289	96	95	167	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	04844.jpg	SureshGopi_23.jpg	129	55	147	235	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	04866.jpg	SureshGopi_24.jpg	109	80	76	136	Twenty_20	2008	Suresh_Gopi	MALE	SURPRISE	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	04907.jpg	SureshGopi_25.jpg	190	1	180	242	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	DOWN	PARTIAL
TWENTY_20-Malayalam_full_movie	04993.jpg	SureshGopi_27.jpg	144	36	81	168	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	05024.jpg	SureshGopi_28.jpg	308	4	192	269	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	UP	PARTIAL
TWENTY_20-Malayalam_full_movie	05027.jpg	SureshGopi_29.jpg	122	3	177	259	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	UP	PARTIAL
TWENTY_20-Malayalam_full_movie	04622.jpg	SureshGopi_3.jpg	315	112	119	187	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05034.jpg	SureshGopi_30.jpg	254	2	208	297	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	UP	PARTIAL
TWENTY_20-Malayalam_full_movie	05039.jpg	SureshGopi_31.jpg	358	89	85	157	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05043.jpg	SureshGopi_32.jpg	365	49	88	164	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05072.jpg	SureshGopi_34.jpg	491	43	40	84	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05091.jpg	SureshGopi_36.jpg	332	62	72	123	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	HAND	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05093.jpg	SureshGopi_37.jpg	351	45	71	116	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05241.jpg	SureshGopi_38.jpg	155	71	94	159	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	04626.jpg	SureshGopi_4.jpg	272	94	109	191	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05760.jpg	SureshGopi_41.jpg	395	113	43	75	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	05808.jpg	SureshGopi_42.jpg	221	16	265	345	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05882.jpg	SureshGopi_45.jpg	222	49	220	312	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	04629.jpg	SureshGopi_5.jpg	255	94	116	197	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05944.jpg	SureshGopi_50.jpg	45	2	293	356	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	05970.jpg	SureshGopi_51.jpg	180	2	219	354	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06038.jpg	SureshGopi_57.jpg	159	55	75	126	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06049.jpg	SureshGopi_58.jpg	170	59	80	139	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	06131.jpg	SureshGopi_61.jpg	229	120	70	119	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	GLASSES	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06156.jpg	SureshGopi_62.jpg	373	62	58	86	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06171.jpg	SureshGopi_65.jpg	238	54	100	168	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	DOWN	PARTIAL
TWENTY_20-Malayalam_full_movie	06172.jpg	SureshGopi_66.jpg	248	43	98	162	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06174.jpg	SureshGopi_67.jpg	246	48	97	168	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06175.jpg	SureshGopi_68.jpg	347	45	56	94	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	OTHERS	MEDIUM	MIDDLE	DOWN	PARTIAL
TWENTY_20-Malayalam_full_movie	06184.jpg	SureshGopi_69.jpg	251	57	71	114	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	06186.jpg	SureshGopi_70.jpg	255	60	72	122	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	06328.jpg	SureshGopi_73.jpg	418	22	44	85	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06332.jpg	SureshGopi_74.jpg	451	30	54	85	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06337.jpg	SureshGopi_76.jpg	391	42	68	97	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06339.jpg	SureshGopi_77.jpg	397	46	69	108	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06348.jpg	SureshGopi_79.jpg	395	40	63	114	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06358.jpg	SureshGopi_81.jpg	316	62	67	111	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	DOWN	PARTIAL
TWENTY_20-Malayalam_full_movie	06370.jpg	SureshGopi_84.jpg	307	20	74	137	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06372.jpg	SureshGopi_85.jpg	333	29	77	129	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06510.jpg	SureshGopi_91.jpg	319	72	53	88	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06567.jpg	SureshGopi_94.jpg	340	72	115	191	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06569.jpg	SureshGopi_96.jpg	400	51	124	199	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
